,question,golden_answer,answer,judge,model
1379,who formed and first came to the colony of maryland,the English,"The first settlers in Maryland were English Catholics led by George Calvert, the first Lord Baltimore. Calvert had been granted a charter by King Charles I of England in 1632 to establish a colony in the New World. The charter officially granted the land to Calvert and his heirs, and it was named Maryland in honor of Queen Henrietta Maria, Charles I's wife.",True,gpt35
1380,who has played in the most masters tournaments,Gary Player,"Jack Nicklaus has played in the most Masters Tournaments, with a total of 44 appearances.",False,gpt35
1381,how much venom can a king cobra produce,420 mg,A king cobra can produce up to 500 mg of venom in one bite.,True,gpt35
1383,where did you go to drink during prohibition,Speakeasies,"During Prohibition, people often went to speakeasies, which were underground bars that served alcohol illegally.",True,gpt35
1384,where does the edinburgh fringe festival take place,"in Edinburgh, Scotland","The Edinburgh Fringe Festival takes place in Edinburgh, Scotland. The venues are located throughout the city, mainly in the Old Town and New Town.",True,gpt35
1385,who won the wwe championship elimination chamber 2018,Roman Reigns,The winner of the WWE Championship Elimination Chamber 2018 was AJ Styles.,False,gpt35
1386,where does safe haven take place in the book,"Southport, North Carolina","Safe Haven takes place in a small coastal town in Southport, North Carolina.",True,gpt35
1387,who came up with the term baby boomer,The Washington Post,"The term ""baby boomer"" was first coined by the popular Canadian journalist and author, Doug Owram in his book, ""Birth of the Boom: The Return of the Post-War Generation"" (1981).",False,gpt35
1388,who was elected president of the united states in 1928,Herbert Hoover,Herbert Hoover was elected President of the United States in 1928.,True,gpt35
1389,dogs name in the grinch who stole christmas,Max,Max,True,gpt35
1390,who played anne in anne with an e,Amybeth McNulty,The role of Anne Shirley in Anne with an E was played by Amybeth McNulty.,True,gpt35
1392,theme of the song roar by katy perry,self-empowerment,"The theme of the song ""Roar"" by Katy Perry is self-empowerment and self-confidence. It is an anthem of courage and strength, encouraging the listener to stand up and be heard. It is a reminder that no matter how difficult life may seem, we all have the power to make a difference and be successful.",True,gpt35
1393,who picks the players in the nfl draft,each team,"The 32 teams in the National Football League (NFL) each select players in the annual NFL Draft. The draft order is determined by the previous season's standings, with the team with the worst record picking first and the team with the best record picking last.",True,gpt35
1394,who discovered gold in the sierra nevada of california,James W. Marshall,"The discovery of gold in the Sierra Nevada of California is generally attributed to James Marshall. On January 24, 1848, Marshall discovered flakes of gold in the American River at Coloma, California, which launched the California Gold Rush.",True,gpt35
1395,which mirror is used in vehicles for rear view,rear-view mirror,"Most vehicles use a convex mirror for the rear view mirror. Convex mirrors are curved outward, which provides a wider field of view than a flat mirror.",True,gpt35
1396,how many medals did austria win in the 2011 alpine skiing world championships,8,"Austria won 4 medals at the 2011 Alpine Skiing World Championships: 1 gold, 1 silver, and 2 bronze.",False,gpt35
1397,who wrote lyrics for phantom of the opera,Charles Hart,"The lyrics for The Phantom of the Opera were written by Charles Hart, with additional lyrics by Richard Stilgoe.",True,gpt35
1398,what culture region is germany a part of,Central Germany,Germany is a part of the Central European culture region.,False,gpt35
1399,mount and blade with fire and sword time period,1648-51,"Mount & Blade with Fire and Sword takes place during the 17th century in Eastern Europe, during the period of the Khmelnytsky Uprising and the Polish-Ottoman War.",True,gpt35
1400,who pays medical bills in great britain where does the money come from to pay these bills,general taxation,"The money to pay medical bills in Great Britain comes from the National Health Service (NHS). The NHS is funded through general taxation, as well as through a specific National Insurance contribution. The NHS is free at the point of delivery, meaning that no individual is charged for the cost of their medical care.",True,gpt35
1401,who plays poppy in the beat goes on,Amanda Leighton,The character Poppy is played by Beattie Edmondson in the British television series The Beat Goes On.,False,gpt35
1402,do you have to have a gun permit to shoot at a range,"Typically, no","No, you do not need a gun permit to shoot at a range. However, some ranges may require you to show proof of firearms training or a background check before shooting.",True,gpt35
1403,how many ceos of fortune 500 companies are female,32,"As of 2021, there are 32 female CEOs of Fortune 500 companies.",True,gpt35
1404,how many episodes is season 4 of the flash,23 episodes,Season 4 of The Flash consists of 23 episodes.,True,gpt35
1405,where did zendaya place in dancing with the stars,Runner-up,Zendaya won the 16th season of Dancing with the Stars in 2013.,False,gpt35
1406,where does the last name baca come from,New Mexico,"The last name Baca is of Spanish origin, and is derived from the Spanish word for ""berry"". It is believed to have first been used as a surname by Spanish families living in the Basque region of northern Spain.",False,gpt35
1407,what's the average lifespan of a basset hound,Median 10–12 years,The average lifespan of a Basset Hound is 10-12 years.,True,gpt35
1408,where was the 2015 rugby union world cup held,England,The 2015 Rugby Union World Cup was held in England.,True,gpt35
1409,in 1945 which party came into power in england,Labour Party,The Labour Party came into power in England in 1945.,True,gpt35
1410,where does porter fly out of in toronto,Billy Bishop Toronto City Airport,Porter Airlines flies out of Toronto City Airport (YTZ) located in the downtown Toronto harbourfront area.,False,gpt35
1411,how many votes to approve supreme court justice,A simple majority vote,"There is no set number of votes required to approve a Supreme Court justice. The number of votes depends on the number of senators present and voting. A simple majority (51 votes) is needed to confirm a justice, but if there is a tie, the vice president casts the deciding vote.",True,gpt35
1412,who proposed that electrons behave like waves and particles,Einstein,The proposal that electrons behave like both waves and particles was first put forward by Louis de Broglie in 1924.,False,gpt35
1413,how many senators are there in the us senate,100,There are currently 100 Senators in the United States Senate.,True,gpt35
1414,phase change from gas to solid is called,Deposition,deposition,True,gpt35
1415,what is the longest english word in the dictionary,Methionylglutaminylarginyltyrosylglutamyl...serine,"The longest word in the Oxford English Dictionary is pneumonoultramicroscopicsilicovolcanoconiosis, which is a lung disease caused by the inhalation of very fine silica particles.",True,gpt35
1417,what percentage of the earth's surface is water,78%,Approximately 71 percent of the Earth's surface is covered by water.,False,gpt35
1418,what is the definition of ph in water,potential of hydrogen,"pH is a measure of the acidity or alkalinity of a solution, specifically the hydrogen ion concentration. In water, it is measured on a scale of 0 to 14, with 7 being neutral, lower numbers indicating increasing acidity, and higher numbers indicating increasing alkalinity.",True,gpt35
1419,where do the neutrons come from in nuclear fission,Startup neutron source,"In nuclear fission, neutrons are released when a heavy nucleus splits into two or more lighter nuclei. The neutrons are produced by the splitting of the nucleus and can be either slow or fast depending on the type of fission reaction.",True,gpt35
1421,who sang the theme song to that 70s show,Big Star,"The theme song to That '70s Show is ""In the Street"" by Big Star.",True,gpt35
1424,when was the first dark tower book published,1982,"The first novel in Stephen King's The Dark Tower series, The Gunslinger, was published in 1982.",True,gpt35
1425,when was zero first used in mathematical operations,By 1770 BC,"The concept of zero has been around since ancient times, but it was not used in mathematical operations until the 7th century AD. The Indian mathematician Brahmagupta is credited with introducing the concept of zero into mathematics.",True,gpt35
1426,what was one reason south carolina gave for its decision to secede from the union,to preserve slavery,"One of the primary reasons South Carolina gave for seceding from the Union was its opposition to the federal government's increasing power over the states. South Carolina felt that the federal government was overstepping its bounds, and that the states should have more autonomy in matters of governullce.",False,gpt35
1427,who is the original singer of you re going to love me,Jennifer Holliday,"The original singer of ""You're Going to Love Me"" is Diana Ross.",False,gpt35
